Parameter:,Time,UAV.LATLON#0,UAV.LATLON#1,GPS.ALTITUDE,UAV.HEADING,GPS.SATS_IN_USE
Mnemonic:,,,,,,
Units:,sec,deg,deg,m,deg,
Desc'n:,,,,,,
Index #:,--------------------,--------------------,--------------------,--------------------,--------------------,--------------------
0,30558.4,54.8370071,-4.917502,15.9,355.2489,10
1,30558.4,54.8370069,-4.9175023,15.9,1.487545,10
2,30558.6,54.8370068,-4.9175018,15.9,6.858073,10
3,30558.6,54.8370068,-4.917502,15.9,11.72373,10
4,30558.8,54.8370061,-4.917501,15.9,16.61264,10
5,30558.8,54.837006,-4.9175009,15.9,21.11687,10
6,33459,54.8370051,-4.9174999,15.9,25.35177,10
7,33459,54.8370048,-4.9174994,15.9,28.65445,10
8,30559.2,54.837004,-4.9174981,15.9,30.805,9
9,30559.2,54.8370038,-4.9174978,15.9,31.85382,9
10,30559.4,54.8370029,-4.9174964,15.9,31.81452,9
11,30559.4,54.837003,-4.9174964,15.9,31.24068,9
12,30559.6,54.8370025,-4.9174958,15.9,30.99755,9
13,30559.6,54.8370027,-4.9174958,15.9,31.69359,9
14,30559.8,54.8370023,-4.9174953,15.9,33.09129,10
15,30559.8,54.8370024,-4.9174952,15.9,34.9563,10
16,33460,54.8370021,-4.9174952,15.9,36.38102,10
17,33460,54.8370021,-4.9174947,15.9,35.68869,10
18,30560.2,54.8370017,-4.917495,15.9,32.68869,10
19,30560.2,54.8370018,-4.9174942,15.9,27.19949,10
20,30560.4,54.8370011,-4.9174925,15.8,20.70895,10
21,30560.4,54.8370011,-4.9174921,15.8,13.12259,10
22,30560.6,54.8370009,-4.9174909,15.8,5.986914,10
23,30560.6,54.8370009,-4.9174909,15.8,0.4678293,10
24,30560.8,54.8370009,-4.9174907,15.8,357.2028,10
25,30560.8,54.8370008,-4.9174907,15.8,354.78,10
26,33461,54.8370008,-4.9174897,15.8,353.5854,10
27,33461,54.8370006,-4.9174895,15.8,351.1278,10
28,30561.2,54.8370006,-4.9174885,15.7,347.4066,9
29,30561.2,54.8370005,-4.917488,15.7,344.0015,9
30,30561.4,54.8370008,-4.9174861,15.7,341.6054,9
31,30561.4,54.8370006,-4.9174857,15.7,339.7721,9
32,30561.6,54.8370022,-4.9174818,15.6,338.2437,9
33,30561.6,54.8370021,-4.9174809,15.6,337.4669,9
34,30561.8,54.8370027,-4.9174807,15.5,336.9182,9
35,30561.8,54.8370025,-4.9174799,15.5,336.3469,9
36,33462,54.8370029,-4.9174803,15.4,335.9409,9
37,33462,54.8370026,-4.9174796,15.4,335.7804,9
38,30562.2,54.8370029,-4.9174797,15.3,335.6893,9
39,30562.2,54.8370027,-4.9174791,15.3,335.7632,9
40,30562.4,54.837003,-4.9174795,15.2,335.7254,9
41,30562.4,54.8370028,-4.9174789,15.2,335.7477,9
42,30562.6,54.837003,-4.9174792,15.1,335.675,9
43,30562.6,54.8370028,-4.9174787,15.1,335.7361,9
44,30562.8,54.837003,-4.917479,15,335.7455,10
45,30562.8,54.8370028,-4.9174786,15,335.7374,10
46,33463,54.837003,-4.9174788,15,335.7573,10
47,33463,54.8370029,-4.9174784,15,335.7663,10
48,30563.2,54.837003,-4.9174781,14.9,335.7642,10
49,30563.2,54.837003,-4.9174777,14.9,335.8064,10
50,30563.4,54.8370031,-4.9174774,14.8,335.7793,10
51,30563.4,54.8370031,-4.917477,14.8,335.8085,10
52,30563.6,54.8370031,-4.9174767,14.7,335.8108,10
53,30563.6,54.8370031,-4.9174763,14.7,335.8013,10
54,30563.8,54.837003,-4.9174761,14.6,335.824,10
55,30563.8,54.8370031,-4.9174757,14.6,335.817,10
56,33464,54.837003,-4.9174755,14.5,335.8328,10
57,33464,54.837003,-4.9174751,14.5,335.8395,10
58,30564.2,54.8370029,-4.9174749,14.4,335.8379,10
59,30564.2,54.837003,-4.9174745,14.4,335.8569,10
60,30564.4,54.8370029,-4.9174746,14.4,335.8495,10
61,30564.4,54.837003,-4.9174743,14.4,335.8532,10
62,30564.6,54.8370029,-4.9174743,14.4,335.847,10
63,30564.6,54.8370029,-4.917474,14.4,335.8447,10
64,30564.8,54.8370028,-4.917474,14.3,335.8602,10
65,30564.8,54.8370029,-4.9174738,14.3,335.8584,10
66,33465,54.8370028,-4.9174738,14.3,335.8709,9
67,33465,54.8370029,-4.9174735,14.3,335.873,9
68,30565.2,54.8370028,-4.9174735,14.3,335.8755,9
69,30565.2,54.8370028,-4.9174733,14.3,335.8834,9
70,30565.4,54.8370027,-4.9174733,14.2,335.886,9
71,30565.4,54.8370028,-4.9174731,14.2,335.8958,9
72,30565.6,54.8370027,-4.917473,14.2,335.9022,10
73,30565.6,54.8370027,-4.9174729,14.2,335.9107,10
74,30565.8,54.8370027,-4.9174729,14.2,335.9191,10
75,30565.8,54.8370027,-4.9174728,14.2,335.9216,10
76,33466,54.8370027,-4.9174727,14.2,335.9351,10
77,33466,54.8370027,-4.9174726,14.2,335.943,10
78,30566.2,54.8370027,-4.9174725,14.2,335.9586,10
79,30566.2,54.8370027,-4.9174724,14.2,335.9709,10
80,30566.4,54.8370026,-4.9174723,14.1,335.9801,10
81,30566.4,54.8370027,-4.9174723,14.1,335.9804,10
82,30566.6,54.8370026,-4.917472,14.1,335.9797,10
83,30566.6,54.8370026,-4.9174719,14.1,335.9857,10
84,30566.8,54.8370026,-4.9174719,14.1,335.9883,8
85,30566.8,54.8370026,-4.9174718,14.1,335.9933,8
86,33467,54.8370025,-4.9174718,14.1,336.0021,8
87,33467,54.8370026,-4.9174717,14.1,336.0103,8
88,30567.2,54.8370025,-4.9174716,14.1,336.018,9
89,30567.2,54.8370025,-4.9174715,14.1,336.0196,9
90,30567.4,54.8370025,-4.9174714,14.1,336.0251,10
91,30567.4,54.8370025,-4.9174714,14.1,336.0235,10
92,30567.6,54.8370025,-4.9174713,14,336.0273,10
93,30567.6,54.8370025,-4.9174713,14,336.0331,10
94,30567.8,54.8370025,-4.9174712,14,336.0435,10
95,30567.8,54.8370025,-4.9174712,14,336.0519,10
96,33468,54.8370024,-4.9174711,14,336.0568,10
97,33468,54.8370025,-4.9174711,14,336.0613,10
98,30568.2,54.8370024,-4.917471,14,336.0655,10
99,30568.2,54.8370024,-4.917471,14,336.07,10
100,30568.4,54.8370024,-4.9174709,14,336.0731,10
101,30568.4,54.8370024,-4.9174709,14,336.0678,10
102,30568.6,54.8370024,-4.9174708,14,336.0692,10
103,30568.6,54.8370024,-4.9174709,14,336.0764,10
104,30568.8,54.8370024,-4.9174708,14,336.0819,10
105,30568.8,54.8370024,-4.9174708,14,336.0849,10
106,33469,54.8370024,-4.9174707,14,336.0941,10
107,33469,54.8370024,-4.9174707,14,336.1053,10
108,30569.2,54.8370024,-4.9174706,14,336.1155,10
109,30569.2,54.8370024,-4.9174707,14,336.1237,10
110,30569.4,54.8370024,-4.9174705,13.9,336.129,10
111,30569.4,54.8370024,-4.9174706,13.9,336.1347,10
112,30569.6,54.8370024,-4.9174705,13.9,336.1426,10
113,30569.6,54.8370024,-4.9174705,13.9,336.1499,10
114,30569.8,54.8370024,-4.9174704,13.9,336.1551,10
115,30569.8,54.8370024,-4.9174705,13.9,336.16,10
116,33470,54.8370024,-4.9174704,13.9,336.1655,10
117,33470,54.8370024,-4.9174704,13.9,336.1735,10
118,30570.2,54.8370024,-4.9174704,13.9,336.1812,10
119,30570.2,54.8370024,-4.9174704,13.9,336.1867,10
120,30570.4,54.8370024,-4.9174704,13.9,336.1961,10
121,30570.4,54.8370024,-4.9174704,13.9,336.1985,10
122,30570.6,54.8370024,-4.9174704,13.9,336.2029,10
123,30570.6,54.8370024,-4.9174704,13.9,336.2039,10
124,30570.8,54.8370024,-4.9174703,13.9,336.2068,10
125,30570.8,54.8370024,-4.9174704,13.9,336.2159,10
126,33471,54.8370024,-4.9174703,13.9,336.2211,10
127,33471,54.8370024,-4.9174703,13.9,336.2279,10
128,30571.2,54.8370024,-4.9174702,13.9,336.2384,10
129,30571.2,54.8370024,-4.9174702,13.9,336.2451,10
130,30571.4,54.8370024,-4.9174701,13.9,336.2501,10
131,30571.4,54.8370024,-4.9174701,13.9,336.2581,10
132,30571.6,54.8370024,-4.91747,13.9,336.2642,10
133,30571.6,54.8370023,-4.91747,13.9,336.2687,10
134,30571.8,54.8370024,-4.9174699,13.9,336.2752,10
135,30571.8,54.8370023,-4.9174699,13.9,336.2826,10
136,33472,54.8370023,-4.9174698,13.9,336.2924,10
137,33472,54.8370023,-4.9174698,13.9,336.3019,10
138,30572.2,54.8370023,-4.9174698,13.9,336.3109,10
139,30572.2,54.8370023,-4.9174698,13.9,336.3177,10
140,30572.4,54.8370023,-4.9174698,13.9,336.3229,10
141,30572.4,54.8370023,-4.9174698,13.9,336.3156,10
142,30572.6,54.8370023,-4.9174698,13.9,336.321,10
143,30572.6,54.8370023,-4.9174698,13.9,336.3265,10
144,30572.8,54.8370023,-4.9174697,13.9,336.3292,10
145,30572.8,54.8370023,-4.9174697,13.9,336.3315,10
146,33473,54.8370023,-4.9174697,13.9,336.3405,10
147,33473,54.8370023,-4.9174697,13.9,336.3468,10
148,30573.2,54.8370023,-4.9174696,13.9,336.3514,10
149,30573.2,54.8370023,-4.9174696,13.9,336.3622,10
150,30573.4,54.8370023,-4.9174696,13.9,336.375,10
151,30573.4,54.8370023,-4.9174696,13.9,336.3745,10
152,30573.6,54.8370023,-4.9174696,13.9,336.375,10
153,30573.6,54.8370023,-4.9174696,13.9,336.3749,10
154,30573.8,54.8370024,-4.9174696,13.9,336.3793,10
155,30573.8,54.8370023,-4.9174696,13.9,336.3864,10
156,33474,54.8370024,-4.9174696,13.9,336.3891,10
157,33474,54.8370023,-4.9174696,13.9,336.3969,10
158,30574.2,54.8370024,-4.9174696,13.9,336.4012,10
159,30574.2,54.8370024,-4.9174696,13.9,336.4038,10
160,30574.4,54.8370024,-4.9174695,13.9,336.4087,10
161,30574.4,54.8370024,-4.9174695,13.9,336.4002,10
162,30574.6,54.8370024,-4.9174695,13.9,336.399,10
163,30574.6,54.8370024,-4.9174695,13.9,336.4017,10
164,30574.8,54.8370024,-4.9174695,13.9,336.4096,10
165,30574.8,54.8370024,-4.9174695,13.9,336.4149,10
166,33475,54.8370024,-4.9174695,13.9,336.4266,10
167,33475,54.8370024,-4.9174695,13.9,336.4358,10
168,30575.2,54.8370024,-4.9174695,13.8,336.4457,10
169,30575.2,54.8370024,-4.9174695,13.8,336.4503,10
170,30575.4,54.8370024,-4.9174694,13.8,336.4556,10
171,30575.4,54.8370024,-4.9174695,13.8,336.4586,10
172,30575.6,54.8370024,-4.9174694,13.8,336.463,10
173,30575.6,54.8370024,-4.9174694,13.8,336.4684,10
174,30575.8,54.8370024,-4.9174694,13.8,336.4752,10
175,30575.8,54.8370024,-4.9174694,13.8,336.4799,10
176,33476,54.8370024,-4.9174694,13.8,336.4848,10
177,33476,54.8370024,-4.9174694,13.8,336.486,10
178,30576.2,54.8370024,-4.9174694,13.8,336.4889,10
179,30576.2,54.8370024,-4.9174694,13.8,336.4983,10
180,30576.4,54.8370024,-4.9174694,13.8,336.5135,10
181,30576.4,54.8370024,-4.9174694,13.8,336.5155,10
182,30576.6,54.8370024,-4.9174694,13.8,336.5126,10
183,30576.6,54.8370024,-4.9174694,13.8,336.513,10
184,30576.8,54.8370024,-4.9174694,13.8,336.5177,10
185,30576.8,54.8370024,-4.9174693,13.8,336.525,10
186,33477,54.8370025,-4.9174694,13.8,336.5311,10
187,33477,54.8370024,-4.9174693,13.8,336.537,10
188,30577.2,54.8370025,-4.9174693,13.8,336.5388,10
189,30577.2,54.8370025,-4.9174693,13.8,336.5427,10
190,30577.4,54.8370025,-4.9174693,13.8,336.5454,10
191,30577.4,54.8370025,-4.9174693,13.8,336.55,10
192,30577.6,54.8370025,-4.9174693,13.8,336.5553,10
193,30577.6,54.8370025,-4.9174693,13.8,336.5629,10
194,30577.8,54.8370025,-4.9174693,13.8,336.5705,10
195,30577.8,54.8370025,-4.9174693,13.8,336.5808,10
196,33478,54.8370025,-4.9174693,13.8,336.592,10
197,33478,54.8370025,-4.9174693,13.8,336.5978,10
198,30578.2,54.8370025,-4.9174693,13.8,336.6027,10
199,30578.2,54.8370025,-4.9174693,13.8,336.6049,10
200,30578.4,54.8370025,-4.9174693,13.8,336.6138,10
201,30578.4,54.8370025,-4.9174693,13.8,336.6116,10
202,30578.6,54.8370025,-4.9174693,13.8,336.6154,10
203,30578.6,54.8370025,-4.9174693,13.8,336.6184,10
204,30578.8,54.8370025,-4.9174693,13.8,336.6237,10
205,30578.8,54.8370025,-4.9174693,13.8,336.6284,10
206,33479,54.8370025,-4.9174693,13.8,336.6304,10
207,33479,54.8370025,-4.9174693,13.8,336.6333,10
208,30579.2,54.8370025,-4.9174693,13.8,336.6402,10
209,30579.2,54.8370025,-4.9174693,13.8,336.6473,10
210,30579.4,54.8370025,-4.9174693,13.8,336.6579,10
211,30579.4,54.8370025,-4.9174693,13.8,336.6595,10
212,30579.6,54.8370025,-4.9174693,13.8,336.6577,10
213,30579.6,54.8370025,-4.9174693,13.8,336.6559,10
214,30579.8,54.8370025,-4.9174693,13.8,336.6589,10
215,30579.8,54.8370025,-4.9174692,13.8,336.6619,10
216,33480,54.8370026,-4.9174692,13.8,336.6672,9
217,33480,54.8370025,-4.9174692,13.8,336.674,9
218,30580.2,54.8370026,-4.9174692,13.8,336.6814,9
219,30580.2,54.8370025,-4.9174692,13.8,336.6859,9
220,30580.4,54.8370026,-4.9174692,13.8,336.6895,9
221,30580.4,54.8370026,-4.9174692,13.8,336.6867,9
222,30580.6,54.8370026,-4.9174692,13.8,336.6867,10
223,30580.6,54.8370026,-4.9174692,13.8,336.6951,10
224,30580.8,54.8370026,-4.9174692,13.8,336.7067,10
225,30580.8,54.8370026,-4.9174692,13.8,336.7183,10
226,33481,54.8370026,-4.9174692,13.8,336.7255,10
227,33481,54.8370026,-4.9174692,13.8,336.7315,10
228,30581.2,54.8370026,-4.9174692,13.8,336.7355,9
229,30581.2,54.8370026,-4.9174692,13.8,336.7386,9
230,30581.4,54.8370026,-4.9174692,13.8,336.7454,9
231,30581.4,54.8370026,-4.9174692,13.8,336.7513,9
232,30581.6,54.8370026,-4.9174692,13.8,336.7531,9
233,30581.6,54.8370026,-4.9174692,13.8,336.7579,9
234,30581.8,54.8370026,-4.9174692,13.8,336.763,10
235,30581.8,54.8370026,-4.9174691,13.8,336.771,10
236,33482,54.8370026,-4.9174691,13.8,336.7768,10
237,33482,54.8370026,-4.9174691,13.8,336.7863,10
238,30582.2,54.8370026,-4.9174691,13.8,336.7968,10
239,30582.2,54.8370026,-4.9174691,13.8,336.8042,10
240,30582.4,54.8370026,-4.9174691,13.8,336.8111,10
241,30582.4,54.8370026,-4.9174691,13.8,336.8091,10
242,30582.6,54.8370026,-4.9174691,13.8,336.8064,10
243,30582.6,54.8370026,-4.9174691,13.8,336.7982,10
244,30582.8,54.8370026,-4.9174691,13.8,336.7998,10
245,30582.8,54.8370026,-4.9174691,13.8,336.802,10
246,33483,54.8370026,-4.9174691,13.8,336.8054,10
247,33483,54.8370026,-4.9174691,13.8,336.8098,10
248,30583.2,54.8370027,-4.9174691,13.8,336.8126,10
249,30583.2,54.8370026,-4.9174691,13.8,336.8134,10
250,30583.4,54.8370027,-4.9174691,13.8,336.8177,10
251,30583.4,54.8370026,-4.917469,13.8,336.8194,10
252,30583.6,54.8370027,-4.917469,13.8,336.8277,10
253,30583.6,54.8370026,-4.917469,13.8,336.835,10
254,30583.8,54.8370027,-4.917469,13.8,336.8473,10
255,30583.8,54.8370027,-4.917469,13.8,336.8526,10
256,33484,54.8370027,-4.917469,13.8,336.8579,10
257,33484,54.8370027,-4.917469,13.8,336.8625,10
258,30584.2,54.8370027,-4.917469,13.8,336.8676,10
259,30584.2,54.8370027,-4.917469,13.8,336.8715,10
260,30584.4,54.8370027,-4.917469,13.8,336.8753,10
261,30584.4,54.8370027,-4.917469,13.8,336.8697,10
262,30584.6,54.8370027,-4.917469,13.8,336.8677,10
263,30584.6,54.8370027,-4.9174689,13.8,336.8694,10
264,30584.8,54.8370027,-4.9174689,13.8,336.8755,10
265,30584.8,54.8370027,-4.9174689,13.8,336.8797,10
266,33485,54.8370027,-4.9174689,13.8,336.8867,10
267,33485,54.8370027,-4.9174689,13.8,336.8773,10
268,30585.2,54.8370027,-4.9174688,13.8,336.8903,10
269,30585.2,54.8370027,-4.9174688,13.8,336.8643,10
270,30585.4,54.8370027,-4.9174688,13.8,336.8941,10
271,30585.4,54.8370027,-4.9174688,13.8,336.8333,10
272,30585.6,54.8370027,-4.9174688,13.8,336.9091,10
273,30585.6,54.8370027,-4.9174688,13.8,336.8442,10
274,30585.8,54.8370027,-4.9174689,13.8,336.8654,10
275,30585.8,54.8370027,-4.9174688,13.8,336.8568,10
276,33486,54.8370027,-4.9174689,13.8,336.8443,10
277,33486,54.8370027,-4.9174688,13.8,336.877,10
278,30586.2,54.8370026,-4.9174688,13.8,336.8508,10
279,30586.2,54.8370026,-4.9174688,13.8,336.784,10
280,30586.4,54.8370026,-4.9174688,13.8,336.8303,10
281,30586.4,54.8370026,-4.9174688,13.8,336.8298,10
282,30586.6,54.8370026,-4.9174688,13.8,336.8836,10
283,30586.6,54.8370026,-4.9174687,13.8,336.8586,10
284,30586.8,54.8370026,-4.9174688,13.8,336.8612,10
285,30586.8,54.8370026,-4.9174688,13.8,336.9034,10
286,33487,54.8370026,-4.9174687,13.8,336.8664,9
287,33487,54.8370026,-4.9174687,13.8,337.0134,9
288,30587.2,54.8370026,-4.9174686,13.8,337.1998,9
289,30587.2,54.8370026,-4.9174687,13.8,337.9674,9
290,30587.4,54.8370026,-4.9174688,13.8,339.3506,9
291,30587.4,54.8370026,-4.9174687,13.8,341.2705,9
292,30587.6,54.8370025,-4.917469,13.8,342.8114,9
293,30587.6,54.8370025,-4.9174683,13.8,343.2057,9
294,30587.8,54.8370023,-4.9174676,13.8,341.1077,9
295,30587.8,54.8370021,-4.9174667,13.8,339.1352,9
296,33488,54.8370017,-4.9174643,13.8,338.5803,9
297,33488,54.8370016,-4.9174641,13.8,337.4511,9
298,30588.2,54.8370014,-4.9174631,13.8,334.7271,10
299,30588.2,54.8370012,-4.9174628,13.8,331.2191,10
300,30588.4,54.8370008,-4.9174626,13.8,328.6514,10
301,30588.4,54.8370007,-4.9174623,13.8,329.3342,10
302,30588.6,54.8370004,-4.9174624,13.8,330.5093,10
303,30588.6,54.8370004,-4.9174621,13.8,331.0107,10
304,30588.8,54.8370002,-4.917462,13.8,331.6648,10
305,30588.8,54.8370002,-4.917462,13.8,331.5237,10
306,33489,54.8370001,-4.917462,13.8,333.1826,10
307,33489,54.8370001,-4.9174617,13.8,336.094,10
308,30589.2,54.837,-4.9174621,13.9,337.9443,10
309,30589.2,54.837,-4.9174617,13.9,338.9175,10
310,30589.4,54.8369999,-4.9174621,13.9,339.6306,10
311,30589.4,54.8369998,-4.9174616,13.9,340.1996,10
312,30589.6,54.8369996,-4.9174621,13.9,340.2329,10
313,30589.6,54.8369997,-4.9174614,13.9,339.5836,10
314,30589.8,54.8369994,-4.9174626,13.9,338.4711,10
315,30589.8,54.8369996,-4.9174614,13.9,337.3717,10
316,33490,54.836998,-4.9174611,13.8,336.9458,10
317,33490,54.8369981,-4.9174601,13.8,337.6045,10
318,30590.2,54.8369968,-4.917459,13.8,338.6905,10
319,30590.2,54.8369966,-4.9174586,13.8,338.1459,10
320,30590.4,54.8369969,-4.9174576,13.8,336.6209,10
321,30590.4,54.8369968,-4.9174573,13.8,336.6419,10
322,30590.6,54.8369972,-4.9174564,13.8,338.1017,10
323,30590.6,54.8369971,-4.917456,13.8,339.4089,10
324,30590.8,54.8369976,-4.9174556,13.8,340.4344,10
325,30590.8,54.8369975,-4.9174549,13.8,340.7532,10
326,33491,54.8369982,-4.9174546,13.8,340.5029,10
327,33491,54.8369981,-4.9174535,13.8,340.306,10
328,30591.2,54.836999,-4.917452,13.8,340.8816,10
329,30591.2,54.836999,-4.9174514,13.8,341.6269,10
330,30591.4,54.8369996,-4.9174499,13.8,342.7271,9
331,30591.4,54.8369995,-4.9174498,13.8,343.5932,9
332,30591.6,54.8369998,-4.9174496,13.8,343.9409,9
333,30591.6,54.8369996,-4.9174496,13.8,344.0739,9
334,30591.8,54.837,-4.9174493,13.8,344.1648,9
335,30591.8,54.8369997,-4.9174493,13.8,344.2389,9
336,33492,54.837,-4.9174491,13.8,344.1785,9
337,33492,54.8369998,-4.9174491,13.8,343.9559,9
338,30592.2,54.8370001,-4.917449,13.8,343.5909,9
339,30592.2,54.8369999,-4.917449,13.8,343.1696,9
340,30592.4,54.8370001,-4.9174489,13.8,342.8118,9
341,30592.4,54.837,-4.9174488,13.8,342.5917,9
342,30592.6,54.8370001,-4.9174489,13.8,342.5143,9
343,30592.6,54.837,-4.9174488,13.8,342.5662,9
344,30592.8,54.8370001,-4.9174488,13.8,342.6166,9
345,30592.8,54.837,-4.9174488,13.8,342.5994,9
346,33493,54.8370001,-4.9174488,13.8,342.5781,9
347,33493,54.8370001,-4.9174487,13.8,342.5995,9
348,30593.2,54.837,-4.9174488,13.8,342.6615,9
349,30593.2,54.8370001,-4.9174487,13.8,342.7989,9
350,30593.4,54.837,-4.9174488,13.8,342.9842,10
351,30593.4,54.8370001,-4.9174487,13.8,343.191,10
352,30593.6,54.837,-4.9174488,13.8,343.4068,9
353,30593.6,54.8370001,-4.9174487,13.8,343.5949,9
354,30593.8,54.8370001,-4.9174488,13.8,343.749,9
355,30593.8,54.8370001,-4.9174487,13.8,343.8715,9
356,33494,54.8370001,-4.9174488,13.8,343.9438,9
357,33494,54.8370001,-4.9174487,13.8,343.9658,9
358,30594.2,54.8370001,-4.9174487,13.8,343.9497,9
359,30594.2,54.8370001,-4.9174487,13.8,343.9043,9
360,30594.4,54.8370001,-4.9174487,13.7,343.8293,9
361,30594.4,54.8370001,-4.9174486,13.7,343.7416,9
362,30594.6,54.8370001,-4.9174487,13.7,343.6362,9
363,30594.6,54.8370001,-4.9174486,13.7,343.5735,9
364,30594.8,54.8370001,-4.9174486,13.7,343.5461,9
365,30594.8,54.8370002,-4.9174486,13.7,343.5454,9
366,33495,54.8370001,-4.9174486,13.7,343.5498,9
367,33495,54.8370002,-4.9174486,13.7,343.5339,9
368,30595.2,54.8370001,-4.9174486,13.7,343.477,9
369,30595.2,54.8370002,-4.9174486,13.7,343.3078,9
370,30595.4,54.8370002,-4.9174487,13.7,342.8908,9
371,30595.4,54.8370003,-4.9174486,13.7,342.5745,9
372,30595.6,54.8370003,-4.9174486,13.7,342.4724,9
373,30595.6,54.8370003,-4.9174486,13.7,342.4661,9
374,30595.8,54.8370003,-4.9174486,13.7,342.3859,9
375,30595.8,54.8370003,-4.9174486,13.7,342.2951,9
376,33496,54.8370004,-4.9174485,13.7,342.1118,10
377,33496,54.8370004,-4.9174486,13.7,341.8866,10
378,30596.2,54.8370004,-4.9174484,13.7,341.6754,10
379,30596.2,54.8370004,-4.9174486,13.7,341.5344,10
380,30596.4,54.8370005,-4.9174484,13.7,341.3174,9
381,30596.4,54.8370004,-4.9174485,13.7,341.0224,9
382,30596.6,54.8370005,-4.9174483,13.7,340.7693,10
383,30596.6,54.8370005,-4.9174485,13.7,340.5237,10
384,30596.8,54.8370005,-4.9174482,13.7,340.3168,9
385,30596.8,54.8370005,-4.9174484,13.7,340.1093,9
386,33497,54.8370006,-4.9174481,13.7,340.0353,9
387,33497,54.8370005,-4.9174484,13.7,340.0875,9
388,30597.2,54.8370006,-4.9174481,13.7,340.1956,9
389,30597.2,54.8370006,-4.9174484,13.7,340.2495,9
390,30597.4,54.8370006,-4.917448,13.7,340.217,9
391,30597.4,54.8370006,-4.9174483,13.7,340.1063,9
392,30597.6,54.8370007,-4.9174479,13.7,340.0187,9
393,30597.6,54.8370006,-4.9174483,13.7,340.0185,9
394,30597.8,54.8370007,-4.9174479,13.7,340.0882,9
395,30597.8,54.8370006,-4.9174483,13.7,340.1883,9
396,33498,54.8370007,-4.9174481,13.7,340.1686,9
397,33498,54.8370006,-4.9174483,13.7,340.2563,9
398,30598.2,54.8370007,-4.9174482,13.7,340.4668,9
399,30598.2,54.8370006,-4.9174483,13.7,340.7018,9
400,30598.4,54.8370008,-4.9174484,13.7,340.5771,9
401,30598.4,54.8370006,-4.9174484,13.7,340.0233,9
402,30598.6,54.8370009,-4.9174482,13.7,339.0606,9
403,30598.6,54.8370007,-4.9174483,13.7,337.9444,9
404,30598.8,54.8370009,-4.917448,13.7,337.2754,10
405,30598.8,54.8370007,-4.9174481,13.7,337.1688,10
406,33499,54.8370013,-4.9174474,13.7,337.7504,9
407,33499,54.837001,-4.9174477,13.7,338.2328,9
408,30599.2,54.8370018,-4.917446,13.7,337.3396,9
409,30599.2,54.8370016,-4.9174459,13.7,335.3897,9
410,30599.4,54.8370024,-4.9174445,13.7,332.3421,9
411,30599.4,54.8370024,-4.9174439,13.7,329.3149,9
412,30599.6,54.8370029,-4.9174433,13.7,326.5078,9
413,30599.6,54.837003,-4.9174424,13.7,324.4364,9
414,30599.8,54.8370013,-4.9174434,13.7,323.5042,9
415,30599.8,54.8370016,-4.9174429,13.7,323.3066,9
416,33600,54.8370004,-4.9174436,13.7,323.8773,9
417,33600,54.8370007,-4.9174431,13.7,324.7455,9
418,30600.2,54.8370002,-4.9174435,13.7,325.849,8
419,30600.2,54.8370004,-4.9174434,13.7,327.4674,8
420,30600.4,54.8369991,-4.9174449,13.7,329.1076,9
421,30600.4,54.8369993,-4.9174444,13.7,329.8895,9
422,30600.6,54.8369981,-4.9174462,13.7,330.1003,9
423,30600.6,54.8369984,-4.9174455,13.7,329.9426,9
424,30600.8,54.8369979,-4.9174465,13.7,328.8428,9
425,30600.8,54.8369982,-4.9174459,13.7,328.1629,9
426,33601,54.8369976,-4.9174466,13.7,327.9606,9
427,33601,54.836998,-4.9174462,13.7,328.6952,9
428,30601.2,54.8369974,-4.917447,13.7,330.3969,9
429,30601.2,54.8369976,-4.9174468,13.7,332.2817,9
430,30601.4,54.8369971,-4.9174483,13.7,333.9107,9
431,30601.4,54.8369972,-4.9174479,13.7,335.1394,9
432,30601.6,54.8369968,-4.9174496,13.6,336.1111,10
433,30601.6,54.8369968,-4.9174491,13.6,336.7729,10
434,30601.8,54.8369969,-4.9174499,13.5,337.1264,10
435,30601.8,54.8369967,-4.9174493,13.5,337.6682,10
436,33602,54.8369968,-4.91745,13.4,338.294,10
437,33602,54.8369967,-4.9174496,13.4,338.4995,10
438,30602.2,54.8369966,-4.9174503,13.4,338.32,10
439,30602.2,54.8369966,-4.9174498,13.4,338.3338,10
440,30602.4,54.8369965,-4.9174506,13.4,338.7432,10
441,30602.4,54.8369965,-4.9174502,13.4,338.8214,10
442,30602.6,54.8369966,-4.9174507,13.4,339.1412,10
443,30602.6,54.8369965,-4.9174506,13.4,339.1104,10
444,30602.8,54.8369966,-4.9174512,13.3,339.166,9
445,30602.8,54.8369965,-4.917451,13.3,339.1214,9
446,33603,54.8369964,-4.9174515,13.3,339.14,9
447,33603,54.8369964,-4.9174515,13.3,339.1324,9
448,30603.2,54.8369964,-4.9174517,13.3,339.1282,9
449,30603.2,54.8369964,-4.9174518,13.3,339.139,9
450,30603.4,54.8369964,-4.9174519,13.4,339.1179,9
451,30603.4,54.8369964,-4.9174521,13.4,339.1545,9
452,30603.6,54.8369964,-4.9174522,13.4,339.1009,9
453,30603.6,54.8369963,-4.9174523,13.4,339.0979,9
454,30603.8,54.8369963,-4.9174523,13.4,339.1043,9
455,30603.8,54.8369962,-4.9174526,13.4,339.0718,9
456,33604,54.8369962,-4.9174526,13.4,339.0845,9
457,33604,54.8369961,-4.9174528,13.4,339.0769,9
