Parameter:,Time,UAV.LATLON#0,UAV.LATLON#1,GPS.ALTITUDE,UAV.HEADING,GPS.SATS_IN_USE
Mnemonic:,,,,,,
Units:,sec,deg,deg,m,deg,
Desc'n:,,,,,,
Index #:,--------------------,--------------------,--------------------,--------------------,--------------------,--------------------
4115,30969.8,54.8366009,-4.9168975,22.3,122.9652,10
4116,34570,54.8365908,-4.9168804,23.9,122.9808,10
4117,34570,54.8365803,-4.9168634,23.9,122.9375,10
4118,30970.2,54.8365699,-4.9168456,25.3,122.8413,10
4119,30970.2,54.8365591,-4.916828,25.3,122.5716,10
4120,30970.4,54.8365487,-4.9168098,26.6,122.3901,10
4121,30970.4,54.8365377,-4.9167911,26.6,122.4612,10
4122,30970.6,54.8365273,-4.9167722,27.6,122.9315,10
4123,30970.6,54.8365162,-4.9167525,27.6,123.5275,10
4124,30970.8,54.8365054,-4.9167319,28.7,124.2264,10
4125,30970.8,54.8364939,-4.9167115,28.7,124.9692,10
4126,34571,54.836483,-4.9166897,29.4,125.6843,10
4127,34571,54.8364714,-4.916669,29.4,126.4174,10
4128,30971.2,54.8364595,-4.9166457,30,127.0217,10
4129,30971.2,54.8364481,-4.9166252,30,127.2856,10
4130,30971.4,54.8364352,-4.9166018,30.8,127.2995,10
4131,30971.4,54.8364237,-4.9165813,30.8,127.1191,10
4132,30971.6,54.8364123,-4.9165607,31.5,126.5779,10
4133,30971.6,54.8364003,-4.916539,31.5,126.0826,10
4134,30971.8,54.8363888,-4.9165171,32.9,125.4896,10
4135,30971.8,54.8363764,-4.9164942,32.9,124.8235,10
4136,34572,54.836366,-4.9164724,34,124.2806,10
4137,34572,54.8363535,-4.9164487,34,123.9295,10
4138,30972.2,54.8363445,-4.9164247,35,123.7326,10
4139,30972.2,54.836332,-4.9164001,35,123.4843,10
4140,30972.4,54.836324,-4.9163756,36,123.1507,10
4141,30972.4,54.8363118,-4.9163504,36,122.831,10
4142,30972.6,54.8363026,-4.9163247,36.9,122.5428,10
4143,30972.6,54.8362909,-4.9162991,36.9,122.2574,10
4144,30972.8,54.8362817,-4.9162712,37.8,121.9575,10
4145,30972.8,54.8362705,-4.9162452,37.8,121.5199,10
4146,34573,54.8362581,-4.9162164,38.7,120.898,10
4147,34573,54.8362472,-4.9161902,38.7,120.1373,10
4148,30973.2,54.8362331,-4.9161611,39.6,119.5157,9
4149,30973.2,54.8362225,-4.9161345,39.6,119.2514,9
4150,30973.4,54.8362079,-4.916105,40.5,119.2549,10
4151,30973.4,54.8361972,-4.9160779,40.5,119.4562,10
4152,30973.6,54.8361827,-4.9160479,41.5,119.8249,10
4153,30973.6,54.836172,-4.9160202,41.5,120.3489,10
4154,30973.8,54.836158,-4.9159898,42.4,120.8356,10
4155,30973.8,54.8361473,-4.9159617,42.4,121.2144,10
4156,34574,54.8361337,-4.9159309,43.4,121.3964,10
4157,34574,54.8361228,-4.9159023,43.4,121.2093,10
4158,30974.2,54.8361096,-4.9158713,44.3,120.5029,10
4159,30974.2,54.8360986,-4.9158423,44.3,119.5753,10
4160,30974.4,54.8360855,-4.9158111,45.2,118.6962,10
4161,30974.4,54.8360746,-4.9157815,45.2,117.8272,10
4162,30974.6,54.8360619,-4.9157506,46.1,117.194,10
4163,30974.6,54.8360511,-4.9157203,46.1,116.582,10
4164,30974.8,54.8360388,-4.9156889,46.9,115.8839,10
4165,30974.8,54.8360282,-4.9156579,46.9,115.1231,10
4166,34575,54.8360164,-4.9156261,47.7,114.4687,10
4167,34575,54.8360061,-4.9155944,47.7,113.6177,10
4168,30975.2,54.8359949,-4.915562,48.4,112.7391,9
4169,30975.2,54.8359852,-4.9155296,48.4,112.0109,9
4170,30975.4,54.8359744,-4.9154963,49.2,111.4615,9
4171,30975.4,54.8359653,-4.9154633,49.2,110.5345,9
4172,30975.6,54.8359553,-4.9154292,50.1,109.5236,10
4173,30975.6,54.8359467,-4.9153955,50.1,108.2036,10
4174,30975.8,54.8359371,-4.9153609,51.1,106.669,10
4175,30975.8,54.8359292,-4.9153268,51.1,105.0768,10
4176,34576,54.8359204,-4.9152918,52.5,103.649,10
4177,34576,54.8359131,-4.9152571,52.5,102.3504,10
4178,30976.2,54.8359055,-4.9152215,53.7,100.9795,10
4179,30976.2,54.8358989,-4.9151863,53.7,99.85231,10
4180,30976.4,54.8358923,-4.9151501,55,98.94173,10
4181,30976.4,54.8358864,-4.9151146,55,98.3541,10
4182,30976.6,54.8358808,-4.915078,56.2,98.12049,10
4183,30976.6,54.8358756,-4.9150421,56.2,97.48181,10
4184,30976.8,54.835871,-4.9150051,57.4,96.76839,10
4185,30976.8,54.8358665,-4.9149689,57.4,95.99317,10
4186,34577,54.8358625,-4.9149317,58.5,95.1786,10
4187,34577,54.8358586,-4.9148954,58.5,94.17805,10
4188,30977.2,54.8358555,-4.9148585,59.7,93.12148,10
4189,30977.2,54.8358521,-4.9148219,59.7,92.1361,10
4190,30977.4,54.8358501,-4.9147853,61,91.55939,10
4191,30977.4,54.835847,-4.9147483,61,90.8996,10
4192,30977.6,54.8358457,-4.9147116,62.1,90.21484,10
4193,30977.6,54.8358433,-4.9146745,62.1,89.47137,10
